ano	teorico	corpod	retidos	trancados
2015	99	78	19	10
2016	112	82	14	4
2017	108	82	18	8
2018	119	91	14	14
2019	128	88	11	14
2020	118	75	10	22
2021	118	68	11	15
2022	98	50	10	12
2023	98	54	5	5
2024	103	47	5	7
