turma	anoturma	ingressantes	ativos	trancados	graduados	evadidos
T2024	2024	26	18	1	0	7
T2023	2023	33	8	3	0	22
T2022	2022	15	4	1	1	9
T2021	2021	29	4	1	5	19
T2020	2020	21	2	0	3	16
T2019	2019	33	3	0	10	20
T2018	2018	35	0	0	11	24
T2017	2017	30	1	1	10	18
