Ano	enade	idd	odp	infra	oaf	mestres	doutores	regtra	cpc
2010			3.80952382087707	4.11363649368286		2.22222232818603	1.01010107994079	5.0	
2011	2.47799682617188	3.06110572814941	4.14611005783081	1.93548381328583		3.26086974143982	0.9427610039711	5.0	2.78408527374268
2014	2.2451089876519	3.11926868741208	2.01458885704457	2.82421608368626	3.23541666666666	2.72727272727272	2.14285714285714	5.0	2.81493024922796
2017	2.423646812726	2.998141289	0.198199118	1.84794112	1.889323899	3.502673669	2.352941185	5.0	2.679215627
2021	2.388	2.542	3.343	3.398	3.294	5.0	4.21	5.0	3.252
