ano	evasao	retencao
2015	16.666666666666664	24.358974358974358
2016	29.268292682926827	17.073170731707318
2017	19.51219512195122	21.951219512195124
2018	24.175824175824175	15.384615384615385
2019	28.40909090909091	12.5
2020	32.0	13.333333333333334
2021	30.88235294117647	16.176470588235293
2022	26.0	20.0
2023	50.0	9.25925925925926
2024	0.0	10.638297872340425
