ano	avg	1stdev	max
2012	9.222222222222221	10.972001749780402	14
2013	10.923076923076923	13.567709759641705	16
2014	10.461538461538462	12.66696479797407	14
2015	9.785714285714286	12.211132406621378	15
2016	13.2	16.12574776766556	16
2017	10.9	14.107802986469087	17
2018	8.928571428571429	10.945084887641872	14
2019	10.88888888888889	13.35845675232143	14
2020	10.833333333333334	14.59350472422616	20
2021	9.75	11.439427911059441	12
2022	9.0625	10.581905722642903	13
2023	8.666666666666666	11.16110492451596	12
2024	8.166666666666666	9.064194134522417	10
