ano	teorico	corpod	retidos	trancados
2015	149	133	15	2
2016	151	129	15	4
2017	156	131	18	6
2018	160	121	13	19
2019	164	131	12	15
2020	163	125	15	19
2021	164	124	15	21
2022	165	139	29	18
2023	155	148	46	5
2024	156	135	33	5
