ano	taxagrad	taxagrad_mm
2017	67.1875	67.1875
2018	63.63636363636363	63.63636363636363
2019	56.779661016949156	56.779661016949156
2020	54.3046357615894	54.3046357615894
2021	44.086021505376344	39.1025641025641
2022	41.517857142857146	31.25
2023	49.6031746031746	42.073170731707314
2024	56.58362989323843	56.441717791411044
