ano	teorico	corpod	retidos	trancados
2015	89	51	5	3
2016	97	51	4	2
2017	107	55	4	6
2018	130	79	7	12
2019	138	88	7	9
2020	138	85	8	37
2021	140	69	15	22
2022	122	70	17	17
2023	116	77	13	7
2024	110	67	11	14
