turma	anoturma	ingressantes	ativos	trancados	graduados	evadidos
T2024	2024	25	12	10	0	3
T2023	2023	31	12	4	1	14
T2022	2022	23	11	2	0	10
T2021	2021	31	8	0	1	22
T2020	2020	31	3	0	5	23
T2019	2019	37	4	0	7	26
T2018	2018	41	0	1	11	29
T2017	2017	29	2	0	9	18
T2016	2016	31	0	0	5	26
