semestre	segmento	curso	Classificação	nps
2020-2	DI	LETRAS - PORTUGUÊS	Atenção	35.0
2021-2	DI	LETRAS - PORTUGUÊS	Atenção	29.0
2022-1	DI	LETRAS - PORTUGUÊS	Atenção	48.0
2022-2	DI	LETRAS - PORTUGUÊS	Atenção	42.0
2023-1	DI	LETRAS - PORTUGUÊS	Atenção	44.0
2023-2	DI	LETRAS - PORTUGUÊS	Atenção	9.0
2024-1	DI	LETRAS - PORTUGUÊS	Ruim	-5.0
