turma	anoturma	ingressantes	ativos	trancados	graduados	evadidos
T2024	2024	78	55	12	0	11
T2023	2023	75	47	6	2	20
T2022	2022	81	54	2	0	25
T2021	2021	106	25	1	14	66
T2020	2020	112	25	2	20	65
T2019	2019	141	14	0	34	93
T2018	2018	126	6	0	25	95
T2017	2017	156	3	2	31	120
T2016	2016	168	2	0	33	133
T2015	2015	132	0	0	35	97
T2014	2014	105	1	1	23	80
