ano	teorico	corpod	retidos	trancados
2015	202	131	19	5
2016	245	133	12	15
2017	297	137	9	12
2018	308	121	17	32
2019	301	143	20	29
2020	255	105	16	46
2021	211	82	9	25
2022	167	53	7	18
2023	109	47	13	9
2024	89	47	14	4
