ano	teorico	corpod	retidos	trancados
2015	402	288	53	18
2016	480	314	49	33
2017	561	338	41	29
2018	582	324	43	63
2019	590	367	59	57
2020	534	318	67	94
2021	484	285	53	58
2022	439	256	42	59
2023	374	259	51	31
2024	340	283	73	20
