ano	teorico	corpod	retidos	trancados
2015	200	157	34	13
2016	235	181	37	18
2017	264	201	32	17
2018	274	203	26	31
2019	289	224	39	28
2020	279	213	51	48
2021	273	203	44	33
2022	272	203	35	41
2023	265	212	38	22
2024	251	236	59	16
