Parâmetro	Valor
Cursos	CIÊNCIA DA COMPUTAÇÃO, Bacharelado, 50 vagas\newline FÍSICA, Licenciatura, 40 vagas\newline MATEMÁTICA, Licenciatura, 45 vagas\newline QUÍMICA, Bacharelado, 40 vagas\newline QUÍMICA, Licenciatura, 45 vagas
Ingressantes na graduação de 2012 a 2024	1445 (111.2 por ano)
Graduados de 2012 a 2024	371 (30.9 por ano)
Taxa de formação histórica da graduação	24.4% (295 graduados desde 2012+t para 1211 ingressantes de 2012 a 2024-t, sendo t a duração mínima de cada curso.)
Matriculados na graduação em 2024-1	283 (32.2% da capacidade)
