anoinicio	2012	2013	2014	2015	2016	2018	2019	2020	2021	2022	2023	2024	Total
2008				1									1
2009	1	3	2										6
2010		1	1										2
2011		2	4		1								7
2012		2	1	1	1	1							6
2013				1	1	2							4
2015							3	2		1	1		7
2016					1			4	2				7
2017									1	6	1		8
2018										4	3		7
2019										5	1	1	7
2020											3	4	7
2021												1	1
Total	1	8	8	3	4	3	3	6	3	16	9	6	70
