semestre	segmento	curso	Classificação	nps
2020-2	DI	CIENCIAS BIOLOGICAS	Atenção	22.0
2021-1	DI	CIENCIAS BIOLOGICAS	Atenção	34.0
2021-2	DI	CIENCIAS BIOLOGICAS	Atenção	32.0
2022-1	DI	CIENCIAS BIOLOGICAS	Atenção	35.0
2022-2	DI	CIENCIAS BIOLOGICAS	Atenção	34.0
2023-1	DI	CIENCIAS BIOLOGICAS	Atenção	36.0
2023-2	DI	CIENCIAS BIOLOGICAS	Bom	58.0
2024-1	DI	CIENCIAS BIOLOGICAS	Atenção	22.0
