ano	teorico	corpod	retidos	trancados
2015	59	45	3	2
2016	68	44	6	3
2017	77	44	5	4
2018	96	65	4	7
2019	99	74	8	6
2020	98	76	15	8
2021	103	68	12	15
2022	90	53	19	13
2023	90	58	10	3
2024	80	38	10	6
