turma	anoturma	ingressantes	ativos	trancados	graduados	evadidos
T2024	2024	11	5	1	0	5
T2023	2023	29	10	2	0	17
T2022	2022	13	4	3	0	6
T2021	2021	27	4	1	1	21
T2020	2020	21	2	0	7	12
T2019	2019	29	1	0	7	21
T2018	2018	26	2	0	7	17
