Ano	enade	idd	odp	infra	oaf	mestres	doutores	regtra	cpc
2011	2.10482215881348	2.03470182418823	3.6875	2.34848475456238					1.58580887317657
2014	3.09929515918694	4.88808559223351	2.57173556605512	1.73308071798531	3.66779279279279	3.4390243902439	3.17073170731707	5.0	3.81045459765819
2017	3.896409387591	5.0	3.27053651	1.548418174	2.227697126	3.308270643	3.157894611	5.0	4.00448992
2021	2.3	1.8	2.399	2.842	2.296	5.0	4.23	5.0	2.854
