ano	teorico	corpod	retidos	trancados
2015	3723	2944	417	201
2016	4056	3136	464	151
2017	4327	3266	436	247
2018	4508	3483	514	402
2019	4624	3633	565	436
2020	4479	3490	520	595
2021	4288	3295	542	506
2022	4126	3116	555	483
2023	3980	3177	566	281
2024	3958	3166	511	265
2025	3958	3048	442	113
