ano	teorico	corpod	retidos	trancados
2015	963	700	125	56
2016	1090	735	126	55
2017	1223	773	117	72
2018	1350	859	113	145
2019	1396	908	108	153
2020	1320	821	118	226
2021	1270	746	130	180
2022	1157	666	156	162
2023	1059	669	147	89
2024	1027	629	134	96
2025	1020	730	140	33
