turma	anoturma	ingressantes	ativos	trancados	graduados	evadidos
T2024	2024	903	686	96	0	121
T2023	2023	919	576	69	4	270
T2022	2022	927	525	50	6	346
T2021	2021	950	357	25	68	500
T2020	2020	891	200	13	206	472
T2019	2019	1038	137	5	325	571
T2018	2018	1037	60	8	404	565
T2017	2017	1109	25	13	459	612
T2016	2016	1150	18	5	411	716
T2015	2015	976	7	1	388	580
T2014	2014	833	6	1	357	469
