ano	teorico	corpod	retidos	trancados
2015	2715	2239	292	145
2016	2907	2395	338	95
2017	3050	2489	319	175
2018	3118	2624	401	257
2019	3197	2725	457	283
2020	3149	2669	402	369
2021	3018	2549	412	326
2022	2969	2450	399	321
2023	2921	2508	419	192
2024	2931	2537	377	169
2025	2938	2318	302	80
