ano	taxagrad	taxagrad_mm
2017	13.157894736842104	13.157894736842104
2018	16.666666666666668	16.666666666666668
2019	17.77777777777778	18.42105263157895
2020	19.29824561403509	21.978021978021978
2021	20.30075187969925	23.157894736842106
2022	18.666666666666668	20.0
2023	17.791411042944784	17.80821917808219
2024	17.441860465116278	13.793103448275861
