Ano	enade	idd	odp	infra	oaf	mestres	doutores	regtra	cpc
2011	3.12166333198547	2.64302229881287	3.95833325386047	3.1635799407959		3.72222208976746	2.91666650772095	5.0	3.17520070075989
2014	3.3684780845958	3.3684780845958	1.15270885482997	0.966326772587147	2.18266253869969	3.8	4.0	5.0	3.30199901273678
2017	2.24126948588	2.531134605	2.488853955	3.053325615	3.373137188	2.265624837	3.59375	5.0	2.841794149
2021	3.362	4.52	4.01	4.086	4.247	3.956	4.038	5.0	4.143
