ano_enade	nota_enade	Nota ENEM
2017	41.0	550.975
2017	15.0	411.6
2017	30.9	472.125
2017	34.3	480.22499999999997
2017	45.2	492.9
2017	42.7	561.85
2021	40.4	519.5999999999999
2021	55.1	617.375
2021	50.4	590.1750000000001
2021	55.9	607.65
2021	47.4	616.675
