turma	anoturma	ingressantes	ativos	trancados	graduados	evadidos
T2024	2024	6	2	0	0	4
T2023	2023	2	0	0	0	2
T2022	2022	1	0	0	0	1
T2021	2021	9	2	0	0	7
T2020	2020	13	3	0	1	9
T2019	2019	17	1	0	1	15
