anoinicio	2012	2013	2014	2015	2017	2018	2019	2020	2021	2022	2023	2024	Total
2006	1												1
2007		2	1										3
2008	2	1											3
2009	1	2											3
2010		1	2			1							4
2011				2									2
2012	1					1			1				3
2013			1		2			1					4
2014						1	1	3					5
2015					1	2	1						4
2016							2	2					4
2017									1				1
2018							2		3	1			6
2019											1		1
2020												1	1
Total	5	6	4	2	3	5	6	6	5	1	1	1	45
