turma	anoturma	ingressantes	ativos	trancados	graduados	evadidos
T2024	2024	52	41	1	0	10
T2023	2023	40	31	4	0	5
T2022	2022	49	38	2	0	9
T2021	2021	33	21	0	1	11
T2020	2020	36	4	1	17	14
T2019	2019	42	0	0	34	8
T2018	2018	45	1	0	33	11
T2017	2017	48	0	0	32	16
T2016	2016	59	0	0	38	21
T2015	2015	35	1	0	25	9
