ano	teorico	corpod	retidos	trancados
2015	209	171	12	16
2016	218	191	14	5
2017	226	180	8	13
2018	222	193	22	10
2019	228	195	20	16
2020	229	190	15	10
2021	203	177	21	9
2022	205	174	12	12
2023	200	169	13	12
2024	210	169	13	9
