semestre	segmento	curso	Classificação	nps
2020-2	DI	PSICOLOGIA	Atenção	9.0
2021-1	DI	PSICOLOGIA	Atenção	22.0
2021-2	DI	PSICOLOGIA	Atenção	33.0
2022-1	DI	PSICOLOGIA	Atenção	22.0
2022-2	DI	PSICOLOGIA	Atenção	21.0
2023-1	DI	PSICOLOGIA	Atenção	12.0
2023-2	DI	PSICOLOGIA	Atenção	25.0
2024-1	DI	PSICOLOGIA	Atenção	18.0
