turma	anoturma	ingressantes	ativos	trancados	graduados	evadidos
T2024	2024	10	7	1	0	2
T2023	2023	9	2	1	0	6
T2022	2022	8	3	2	0	3
T2021	2021	19	3	0	0	16
T2020	2020	25	9	0	4	12
T2019	2019	21	3	0	7	11
T2018	2018	19	2	0	3	14
T2017	2017	25	1	1	11	12
