ano	teorico	corpod	retidos	trancados
2015	43	23	0	2
2016	63	42	4	3
2017	74	52	4	2
2018	82	61	4	5
2019	91	66	6	6
2020	90	70	12	14
2021	84	58	13	10
2022	73	43	8	12
2023	61	37	11	7
2024	46	37	20	3
