semestre	segmento	curso	Classificação	nps
2020-2	DI	QUÍMICA	Bom	70.0
2021-1	DI	QUÍMICA	Bom	57.0
2021-2	DI	QUÍMICA	Bom	62.0
2022-1	DI	QUÍMICA	Bom	65.0
2022-2	DI	QUÍMICA	Bom	52.0
2023-1	DI	QUÍMICA	Bom	55.0
2023-2	DI	QUÍMICA	Atenção	37.0
2024-1	DI	QUÍMICA	Atenção	34.0
