Ano	enade	idd	odp	infra	oaf	mestres	doutores	regtra	cpc
2017	2.215366897537	3.067596436	3.843505168	3.220225101	3.553423163	1.172840013	3.42592577	5.0	3.031693709
2021	1.874	1.837	3.447	2.613	2.672	3.253	4.017	5.0	2.695
