semestre	segmento	curso	Classificação	nps
2020-2	DI	CIÊNCIA DA COMPUTAÇÃO	Atenção	34.0
2021-1	DI	CIÊNCIA DA COMPUTAÇÃO	Atenção	13.0
2021-2	DI	CIÊNCIA DA COMPUTAÇÃO	Atenção	38.0
2022-1	DI	CIÊNCIA DA COMPUTAÇÃO	Atenção	34.0
2022-2	DI	CIÊNCIA DA COMPUTAÇÃO	Atenção	22.0
2023-1	DI	CIÊNCIA DA COMPUTAÇÃO	Atenção	24.0
2023-2	DI	CIÊNCIA DA COMPUTAÇÃO	Atenção	2.0
2024-1	DI	CIÊNCIA DA COMPUTAÇÃO	Bom	73.0
