Ano	enade	idd	odp	infra	oaf	mestres	doutores	regtra	cpc
2011	3.75029921531677	4.61040019989014	3.00000023841858	2.5		3.89473700523376	1.33333337306976	5.0	3.64330530166626
2014	2.65712676056338	3.1933198587515	3.26943095519832	3.65731785944551	4.07281493386079	3.5	2.25	5.0	3.15398089063437
2017	2.504022529057	2.581568241	2.523379471	2.640211304	3.189019861	2.447916474	2.083333284	5.0	2.676436654
2021	2.118	2.592	2.915	3.272	3.393	2.333	3.611	5.0	2.889
