anoinicio	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	Total
2008	4	2	1		1	1								9
2009	9	4	3			1								17
2010		8	1	5	3	2	1							20
2011			2	2	4	2	3	1	1					15
2012				3	4	5						1		13
2013					2	3		1	1					7
2014						3	2	1	1	3		1		11
2015							2	7	5	1		1		16
2016								3	6	5				14
2017									5	3		1	1	10
2018										2	7		2	11
2019											12	1	3	16
2020												6	6	12
2021										1			11	12
Total	13	14	7	10	14	17	8	13	19	15	19	11	23	183
