turma	anoturma	ingressantes	ativos	trancados	graduados	evadidos
T2024	2024	48	42	5	0	1
T2023	2023	54	43	4	0	7
T2022	2022	53	42	0	0	11
T2021	2021	50	18	1	12	19
T2020	2020	47	11	2	12	22
T2019	2019	49	6	0	16	27
T2018	2018	43	3	0	11	29
T2017	2017	50	2	1	10	37
T2016	2016	56	2	0	14	40
T2015	2015	43	0	0	16	27
T2014	2014	41	1	1	11	28
