ano	teorico	corpod	retidos	trancados
2015	157	134	34	11
2016	172	139	33	15
2017	190	149	28	15
2018	192	142	22	26
2019	198	158	33	22
2020	189	143	39	34
2021	189	145	31	23
2022	199	160	27	29
2023	204	175	27	15
2024	205	199	39	13
