turma	anoturma	ingressantes	ativos	trancados	graduados	evadidos
T2024	2024	44	40	1	0	3
T2023	2023	39	29	3	0	7
T2022	2022	47	19	0	2	26
T2021	2021	41	4	1	15	21
T2020	2020	33	3	0	16	14
T2019	2019	41	1	0	18	22
T2018	2018	41	4	0	18	19
T2017	2017	58	0	1	30	27
T2016	2016	35	1	0	17	17
