ano	teorico	corpod	retidos	trancados
2015	149	133	25	13
2016	141	124	29	6
2017	156	142	21	6
2018	163	148	27	19
2019	175	150	19	22
2020	173	141	19	28
2021	156	145	36	16
2022	162	124	24	22
2023	160	124	21	11
2024	171	131	17	9
