ano	avg	1stdev	max
2012	8.37037037037037	9.429655529338895	12
2013	8.380952380952381	9.37981795063824	12
2014	9.9	11.570329308849006	13
2015	9.363636363636363	10.763164028940059	12
2016	9.757575757575758	11.372474253875664	12
2017	9.058823529411764	10.755553541394818	12
2018	11.125	13.242634293262176	16
2019	10.238095238095237	12.799805267869099	18
2020	8.222222222222221	10.064791550197445	12
2021	9.285714285714286	10.746074878590063	13
2022	10.590909090909092	14.424481966404683	24
2023	9.727272727272727	12.198595858012398	16
2024	8.72	10.69017765696396	14
