ano	teorico	corpod	retidos	trancados
2015	172	121	17	15
2016	182	138	19	4
2017	189	144	23	24
2018	194	162	34	26
2019	188	156	43	38
2020	171	130	30	44
2021	170	123	28	49
2022	166	98	17	36
2023	156	93	15	18
2024	154	91	15	17
