Ano	enade	idd	odp	infra	oaf	mestres	doutores	regtra	cpc
2013	2.3170256614685	2.31290054321289	3.11548757789945	2.7635721058979	3.09363530564427	2.39669411811827	1.24192744672044	5.0	
2016	1.19232976436615	0.717565247845225	3.35274532948928	3.83190552321637	3.39357806635367	3.125	2.75	5.0	2.03937941715041
2019	1.242	1.094	0.869	1.717	2.344	3.928	3.181	5.0	1.988
2021	2.096	2.296	1.112	1.89	2.42	4.491	4.117	5.0	2.791
