turma	anoturma	ingressantes	ativos	trancados	graduados	evadidos
T2024	2024	30	20	2	0	8
T2023	2023	36	18	6	1	11
T2022	2022	41	19	0	2	20
T2021	2021	47	4	1	7	35
T2020	2020	32	5	0	5	22
T2019	2019	46	3	0	12	31
T2018	2018	45	3	0	10	32
T2017	2017	48	3	0	13	32
T2016	2016	49	1	0	9	39
