turma	anoturma	ingressantes	ativos	trancados	graduados	evadidos
T2024	2024	42	40	0	0	2
T2023	2023	41	29	6	0	6
T2022	2022	45	32	3	0	10
T2021	2021	43	25	1	0	17
T2020	2020	29	8	0	9	12
T2019	2019	41	3	0	19	19
T2018	2018	42	2	0	23	17
T2017	2017	52	1	1	32	18
T2016	2016	48	2	0	21	25
T2015	2015	31	0	0	21	10
T2014	2014	38	0	0	26	12
