ano	avg	1stdev	max
2014	10.0	10.0	10
2015	10.454545454545455	11.236575024276602	12
2016	10.23076923076923	11.924824272734249	12
2017	10.904761904761905	12.381720230406746	15
2018	11.5	14.0	18
2019	11.5	13.5	17
2020	11.76923076923077	14.223547097468279	19
2021	14.2	16.91293199325011	17
2022	11.84375	13.407187218918624	17
2023	13.26086956521739	15.766817121911227	21
2024	12.025	14.232798677416037	20
