Ano	enade	idd	odp	infra	oaf	mestres	doutores	regtra	cpc
2010			3.97368431091308	1.17224895954132		4.11111116409301	3.31730771064758	5.0	
2013						3.4166666364165	3.37719278096975	5.0	
2016	2.30562806129455	2.19600495945273	1.28078168289308	1.34875535964965	1.79607441327951	2.22222222222222	2.77777777777777	5.0	2.39645893593215
2019	2.513	2.256	1.625	1.883	2.82	3.125	2.968	5.0	2.633
2023	3.482	3.317	2.523	3.023	3.2	3.759	3.103	5.0	3.4
