ano	teorico	corpod	retidos	trancados
2015	191	160	9	5
2016	199	176	17	3
2017	215	181	15	13
2018	211	189	22	16
2019	214	198	29	13
2020	212	184	23	23
2021	207	174	20	26
2022	200	193	47	15
2023	199	179	40	13
2024	200	189	39	12
