ano	taxagrad	taxagrad_mm
2017	57.31707317073171	57.31707317073171
2018	52.5	52.5
2019	57.615894039735096	57.615894039735096
2020	56.78391959798995	56.78391959798995
2021	47.01195219123506	42.7906976744186
2022	51.19453924914676	48.81516587677725
2023	51.796407185628745	51.401869158878505
2024	58.67768595041322	59.43396226415094
